Job Title,Job Experience Required,Key Skills,Role Category,Functional Area,Industry,Role
 Infrastructure SSO Architect- Looking For Early Joiners,10 - 20 yrs, single sign - on| single sign on| IT Infrastructure| SSO,System Design/Implementation/ERP/CRM,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Solution Architect / Enterprise Architect
 Sr. Architect / Project Position: Sr. Architect / Project,10 - 15 yrs, layout| coordinating| material selection| ms| mep| photoshop| corel draw| co| monitoring| plumbing,Architectural Services,"Architecture , Interior Design","Real Estate, Property",Architect
Nosql (couchdb/redis/bigtable/dynamodb), 4 - 6 Years,coding|database design|test cases|analytical|nosql|cassandra,Programming & Design,"IT Software - DBA , Datawarehousing",IT-Software / Software Services,Software Developer
 Immidate Opening for Voice & Accent Trainer @ Vee Technologies,3 - 4 yrs, accent| auditing| soft skills| training needs| customer service| process compliance,Training,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Voice & Accent Trainer
 Walk- in | Hdfc Life | We are Hiring Freshers:5th till 20th Aug@ Delhi,0 - 2 yrs, Sales| Fresher| Marketing,Retail Sales,"Sales , Retail , Business Development",Insurance,Sales/Business Development Manager
 AIT Global India Private Limited is Looking For JAVA Developer.,2 - 5 yrs, Java EE| Hibernate| Core Java| Software Development| Spring Mvc| Multithreading| OOD| JDBC| Spring Boot| JSF,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
" Cloud Engineer Cloud Based IT MNC In Gurgaon , salary 7 - 8 LPA",2 - 4 yrs, Virtualization| Cloud computing| Server architecture| Windows Troubleshooting| Customer satisfaction| Manager Technology| Deployment| Management,Programming & Design,IT Software - System Programming,"Real Estate, Property",Technical Architect
 Relationship Manager - Bangalore,2 - 4 yrs, business development| sales| sales marketing| marketing executive| sales executive| sales officer| sales manager| area sales manager| territory sales manager| territory manager| area manager| regional manager| regional sales manager| regional business manager,Retail Sales,"Sales , Retail , Business Development","Education, Teaching, Training",Sales Executive/Officer
 Territory Sales Manager-Passive Networking-Mumbai/Bangalore/Hyderabad,3 - 8 yrs, Sales| Sale| Networking Sales| It Solution Sales| Structured Cabling| Passive Networking| Data Center| Cable Tray| cabling| Data Center Rack| data - centre rack| LAN| UTP Cables,Corporate Sales,"Sales , Retail , Business Development","Electricals, Switchgears",Sales/Business Development Manager
 Business Development Manager,3 - 5 yrs, marketing executive| distributors| customer profiling| sales strategy| market research| Business Development| sales executive,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
 Senior Manager-fundraising,12 - 18 yrs, fundraising| finance,Operations/Processes/Finance/Legal,"Financial Services , Banking , Investments , Insurance","Medical, Healthcare, Hospitals",Finance/Budgeting Manager
 Bulk Hiring Travel Sales Consultants US /UK Shifts Call ASAP,1 - 5 yrs, worldspan| travel sales consultants| galileo| amadeus| gds,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 UI Developer (Frontend Developer),3 - 8 yrs, Front end| Email| PDF| MIN| UI| phone| Strategic HR| Doc| Consultancy| Recruitment,Programming & Design,"IT Software - Application Programming , Maintenance","Construction, Engineering, Cement, Metals",Software Developer
 Netsuite Technical Consultant,3 - 5 yrs, CVS| ERP| Rest| middle east| Technical| Customization| E-commerce| CRM| Open| WHO,System Design/Implementation/ERP/CRM,"IT Software - ERP , CRM","IT-Software, Software Services",Outside Technical Consultant
"Java Full Stack – Technical Lead, Senior Engineer", 6 - 11 Years,Java|Angular JS|Hibernate|Core Java|Technical Leader|Technical|Javascript|Spring|JQuery|JS framework,Programming & Design,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer
 ADM - External Affairs &amp; CSR - Bangalore,8 - 13 yrs, senior management| ngo| key skills| Corporate Social Responsibility| Govt Liasioning| corporate pr| External Communications,CSR & Sustainability,CSR & Sustainability,"Automobile, Auto Anciliary, Auto Components",CSR Manager
 Immediate Opening Asp.net MVC Developers For Mumbai (worli),3 - 5 yrs, Asp.Net MVC| entity framework| API,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Home loan,1 - 4 yrs, Loans| Direct Sales Associate| Policies| Bfsi| Finance| Sanction| WHO,Retail/Personal Banking,"Financial Services , Banking , Investments , Insurance","Recruitment, Staffing",Sales Officer
" Sr. Resident, General & Laparoscopic Surgery",2 - 6 yrs, Monitoring| Senior Resident| RAM| DNB| Dmc,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Surgeon
 Angular Developer - Fulcrum Digital,4 - 6 yrs, Angularjs| CSS| Responsive Web Design| Javascript| Bootstrap| HTML| JSON| JQuery| Web Development| Grunt,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Devops Engineer - Tools & Automation,5 - 8 yrs, python| open source| database| Automation| java| linux| perl| Monitoring| nosql,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Great Opportunity To join top MNCs in Kolkata! Grab them While it last,0 - 3 yrs, PR| international bpo| chat process| Aviation| back office| web chat| Guest Relations| Public Speaking| bcom| fresher| inbound process| outbound| uk process| icse| communication skills| cbse,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 QA Functional Testing,3 - 6 yrs, QA| Functional testing,Programming & Design,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer
 Sales Engineer,2 - 7 yrs, Sales Engineering,Retail Sales,"Sales , Retail , Business Development","Automobile, Auto Anciliary, Auto Components",Sales/Business Development Manager
Software Engineer - Unity Developer, 3 - 8 Years,Design Development|Software Engineering|Lighting|Computer Science|Product Quality|Automation Testing|Asset Management|GUI|Object Oriented Programming|Android,Programming & Design,IT Software - Mobile,Telecom / ISP,Software Developer
 Associate Level 1 - Fund Accounting,1 - 5 yrs, NAV calculation| Fund accounting| Automation| Corporate actions| Accounting| Process improvement| Analytical| Reconciliation| Standard operating procedures| Subject Matter Expert,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Banking, Financial Services, Broking",Accounts Executive/Accountant
 Associate Principal Analyst - Network Security Research,3 - 7 yrs, Networking| Secondary research| Recruitment| Analyst| Network security| Research| IPS| Advisory| Firewall,System Design/Implementation/ERP/CRM,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Business Analyst
 Training Specialist,4 - 8 yrs, Team Management| Training Need Analysis| sales training| Retail Sales| MS Office| Product Training| Training| Team Building| Skill Development| Retail Marketing| trainer| Regional Management| Competency Mapping| Training Delivery,,Other,"Telcom, ISP",Other
 Urgent Opening For Field Recruiter ,1 - 6 yrs, hiring| HRIS| procurement| HR| sourcing| Recruitment| staffing,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive
 JAVA Developer,4 - 7 yrs, Computer science| Continuous improvement,Programming & Design,"IT Software - Application Programming , Maintenance","Internet, Ecommerce",Software Developer
 Urgent Openings For Pharma Freshers,0 - 3 yrs, pharmaceutical| medical| Pharma| medical billing| healthcare,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Pharma, Biotech, Clinical Research",Medical Representative
 Front End Developer - Wordpress/html/css/javascript,3 - 5 yrs, CSS| Wordpress| MySQL| Javascript| PHP| HTML| JQuery| SEO| Ajax| Hosting,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
Mechanical Maintenance – Btech / Diploma, 0 - 2 Years,mechanical operation|preventive maintenance|mechanical|engineeringbreak down maintenance|mechanical maintenance,"Suguna Group was founded in the year 1984 with the inception of Suguna Foods in poultry sector by first generation entrepreneurs. Suguna is a USD 1.3 billion (INR 9,000 cr) group and leader in Indian protein food/animal farming industry. With an employee footprint of more than 8500, the group is in to poultry, dairy, processed protein food, animal nutrition, healthcare & biologicals. Group companies are Suguna Foods, Suguna Dairy, Globion, Aminovit Srilanka, Suguna Bangladesh and Kenya. Suguna Foods is the largest poultry enterprise in India and it ranks among the top 10 worldwide. The fully integrated operations cover broiler and layer farming, hatcheries, feed mills, processing plants, vaccines and exports. Suguna markets live broiler chicken, value added eggs, ready-to-eat and ready-to-cook chicken products. With the intent to provide consumers with fresh, clean and hygienic packed chicken, Suguna has set up a chain of modern retail outlets in the name of Ã¢â‚¬ËœDaily FresshÃ¢â‚¬â„¢. Suguna Foods pioneered contract farming in poultry industry, and now has presence in 21 states in India. Suguna as a brand is known for its quality products which has been well accepted by the consumers. Suguna Group always believes in energising rural India and providing nutritional security to India and is proud to associate with the mission of improving livelihood of 38,000 farmers",Other,FMCG / Foods / Beverage,"Suguna Group was founded in the year 1984 with the inception of Suguna Foods in poultry sector by first generation entrepreneurs. Suguna is a USD 1.3 billion (INR 9,000 cr) group and leader in Indian protein food/animal farming industry. With an employee footprint of more than 8500, the group is in to poultry, dairy, processed protein food, animal nutrition, healthcare & biologicals. Group companies are Suguna Foods, Suguna Dairy, Globion, Aminovit Srilanka, Suguna Bangladesh and Kenya. Suguna Foods is the largest poultry enterprise in India and it ranks among the top 10 worldwide. The fully integrated operations cover broiler and layer farming, hatcheries, feed mills, processing plants, vaccines and exports. Suguna markets live broiler chicken, value added eggs, ready-to-eat and ready-to-cook chicken products. With the intent to provide consumers with fresh, clean and hygienic packed chicken, Suguna has set up a chain of modern retail outlets in the name of Ã¢â‚¬ËœDaily FresshÃ¢â‚¬â„¢. Suguna Foods pioneered contract farming in poultry industry, and now has presence in 21 states in India. Suguna as a brand is known for its quality products which has been well accepted by the consumers. Suguna Group always believes in energising rural India and providing nutritional security to India and is proud to associate with the mission of improving livelihood of 38,000 farmers"
 PHP Developer,2 - 6 yrs, javascript| html| ajax| jquery| php mysql| smarty| api| analytical| third party| software development life cycle,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
Sr.consultant-power Distribution, 4 - 7 Years,Renewable energy|Power distribution|Power sector|Banking|Electricals,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations",Accounting / Finance,Associate/Senior Associate -(NonTechnical)
" Chinese, Spanish Language Expert (proofcheck Medical Content),",2 - 7 yrs, spanish language expert| chinese| spanish| medical,Journalist/Writer,"Journalism , Editing , Content","Medical, Healthcare, Hospitals",Proof Reader
 Hiring for Tech Sales_Inbound UK/ US Voice Process,1 - 5 yrs, Sales Associate| support| Voice process| Issue| Senior| Technical| Inbound calls| Bonus| US shift| Software,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 SUPPORT Engineers (FEMALE CANDIDATES),1 - 5 yrs, MCSE| Database| Support Engineer,Back Office/Web/Transaction Processing,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
 MS SQL Developer : 0 - 2 Years (only MALE Candidates),1 - 3 yrs, SSRS| SQL Server| Stored Procedures| SQL Development| MS SQL,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Machine Learning Engineer || Gurgaon/chandigarh Location,3 - 8 yrs, GIT| Linux| Machine Learning| Python,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Nurses,2 - 5 yrs, GNM| Business Executive,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Internet, Ecommerce",Nurse
 Marketing Executive,2 - 7 yrs, institutions| relationships| marketing executive| customer| customers| implementation| company| site| product,Marketing,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",Direct Marketing Executive
HR Recruiter (volume Hiring), 2 - 5 Years,Recruitment|Volume Hiring|HR|BPO Hiring|Sourcing|Interviewing|Onboarding|Staffing|Orientation|Human Resource Management,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR",BPO / Call Centre / ITES,HR Executive
 Java Full Stack Developer,4 - 7 yrs, Java| CSS| Rest| Spring Mvc| Javascript| HTML| JPA| Spring Boot| JQuery| Web Services,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 GM Finance- Export Import Company,10 - 17 yrs, financial analysis| financial planning| taxation| VP Finance,Senior Management,"Accounts , Finance , Tax , Company Secretary , Audit","Export, Import",Head/VP/GM-Finance/Audit
 Content Writer,1 - 3 yrs, Publishing| SEO| Content management| Social media| Wordpress| Management systems| Research| Brand awareness| Web technologies| Journalism,Content Development,"Journalism , Editing , Content","Advertising, PR, MR, Event Management",Content Developer
 Job Opening for Sm/avp_credit Audit_mumbai,7 - 10 yrs, Auditing| Audit Planning| Risk Assessment| Banking| Credit Risk| Credit Policy,Senior Management,"Accounts , Finance , Tax , Company Secretary , Audit","Banking, Financial Services, Broking",Head/VP/GM-CFO/Financial Controller
 iOS Game Developer,3 - 8 yrs, c++| development| gaming| C| software| HTML| ios| opengl| iphone| design| MySQL| JavaScript,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Hiring: Executive-business Developer(seller Acquisition) On Contract,1 - 4 yrs, business development| e - commerce| sales executive| sales associate| sales officer| sales| field sales| mba fresher| fresher| new product development| channel sales,Retail Sales,"Sales , Retail , Business Development","Internet, Ecommerce",Sales Executive/Officer
 Java/j2ee Application Developer,3 - 6 yrs, rest| java| sql| oop| angularjs| ui development| oracle,Programming & Design,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Software Developer
" Accepting Application for Intership for Java, PHP, Web Design, Android",0 - 1 yrs, Javascript| PHP| HTML| Visualization| jQuery| web| Programming| Commerce| Web designing| Application| Android,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Automation-Expert-Senior-Automation-Expert,3 - 5 yrs, Process automation| Commodity Markets| Artificial Intelligence| Market intelligence| Machine learning| Corporate| Relationship| Operations| Analytics| Robotics,Programming & Design,IT Software - QA & Testing,"IT-Software, Software Services",Team Lead/Technical Lead
 Product Manager- Marketing(consumer Durables),5 - 10 yrs, IT Sales| Marketing Campaigns| Social Media| Btl| Marketing Management| Digital Marketing| Dealer Sales| Channel Partners| Communication Skills| Process Flow,Institutional Sales,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales/Business Development Manager
 Embedded Android Engineer,10 - 12 yrs, Android| Troubleshooting| Middleware| Firmware| SOC| Linux kernel| Bluetooth| Computer science| Test scripts| Test strategy,Programming & Design,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","Semiconductors, Electronics",Software Developer
 Inbound International BPO Voice Process-US Shift,1 - 4 yrs, Outbound| Antivirus| Technical support| Voice process| Technical Support Executive| US shift| Inbound voice process| Customer Service Executive| Comp| International BPO,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 Jr. Support Executives,1 - 6 yrs,vide,Other,"IT Hardware , Technical Support , Telecom Engineering",IT-Hardware & Networking,Fresher
 Sales Executive,0 - 1 yrs, Sales Executive| Cold calling| market research| customer profiling| sales executive| marketing executive| distributors| Business Development| sales strategy,Retail Sales,"Sales , Retail , Business Development","Industrial Products, Heavy Machinery",Sales Executive/Officer
 Recruitment Officer ,0 - 1 yrs, Administration| HR| Recruitment| Recruitment Executive| IR,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive
 Senior Principal Software Engineer,8 - 10 yrs, Web development| Analytics| Healthcare| Software design| Monitoring| JIRA| Computer science| Backend| Inside sales| Cloud,Programming & Design,"IT Software - Application Programming , Maintenance","BPO, Call Centre, ITeS",Technical Architect
 Senior Branch Sales & Development Head - Agency - General Insurance,5 - 9 yrs, Team Management| Advisory Services| General Insurance| Sales Initiatives| Financial Products| Distributor Sales| Branch Sales| Sales Development| Motor Insurance| Marketing,General Insurance,"Financial Services , Banking , Investments , Insurance",Insurance,Branch Manager
 Pharma/nutrition Sales Profile Opening with Hexagon Nutrition,0 - 5 yrs, clinical pharmacy| mr| sales officer| territory executive| business development| sales executive,Retail Sales,"Sales , Retail , Business Development","Pharma, Biotech, Clinical Research",Sales Executive/Officer
 Urgent job Position For SAP MDG Functional Analyst- All Over India,6 - 11 yrs,vide,System Design/Implementation/ERP/CRM,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",ERP Consultant
 Manager / Asst. Manager - Vendor Development ( Purchase ) - Gurgaon,7 - 12 yrs, sap| procurement| scm| material| sheetmetal| sheet metal| purchase| VD| vendor development| sourcing| BOP,Purchase/Material Management,"Supply Chain , Logistics , Purchase , Materials","Industrial Products, Heavy Machinery",Purchase/Vendor Development Manager
 Java with AngularJS and Spring,3 - 6 yrs, Angularjs| CSS| Core Java| DOM| Computer Science| Javascript| HTML| Spring| Ajax,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Manager- Admission,2 - 7 yrs, data analysis| Admissions| placements| Help Desk| access controls| Asset Management,Other,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Other
 Full Time Academic Writer for Ca/cma- Accounting & Taxation,0 - 3 yrs, academic research| accounting| taxation| ifrs| us gaap| international taxation| cost accounting| company secretary| auditing| company law| corporate law| icwa| cma,,Other,"Education, Teaching, Training",Other
 Sales Head for It Consulting Company in Gurgaon,4 - 8 yrs, marketing| bdm| sales| business development| it sales| ncr| hardware sales,Retail Sales,"Sales , Retail , Business Development","Recruitment, Staffing",Sales/Business Development Manager
 Adeeba Group is Currently hiring for US Inbound Tech Process.,2 - 7 yrs, Outbound| Night shift| Service| English| process| Technical| Technical support| Inbound calls| Voice process| Group,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
 Mechanical Engineer Require For Shut Down,5 - 10 yrs, RT| PT| MPI| NDT Inspection| NDT Level| Diploma| Quality Inspection| Level Ii| Inspection Engineering| Mechanical Engineering| UT,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Oil and Gas, Energy, Power, Infrastructure",Service/Maintenance Engineer
 CARE Specialist,2 - 5 yrs, Customer service| Healthcare| Customer relationship| Windows| Graphic designing| CAD| Illustrator| Customer satisfaction| Application software,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Printing, Packaging",Associate/Senior Associate -(NonTechnical)
 Opening For Fresher,0 - 1 yrs, BPO| any graduate| Voice Process| Voice Support,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 Technical Support Associate / Technical Sales Associate-Inbound Voice ,0 - 3 yrs, Outbound| Antivirus| Comp| Technical support| Technical Support Associate| technical sales associate| Sales| Technical Associate| Voice support| Inbound calls,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
 Head of Maintenance,12 - 18 yrs, Equipment Maintenance| Hydraulics| Inventory Management| Management Skills| Maintenance Head| Electricals,Senior Management,"Production , Manufacturing , Maintenance","Automobile, Auto Anciliary, Auto Components",Head/VP/GM-Production/Manufacturing/Maintenance
" Tcs Hiring For Support Analyst - Bigdata(apache Hadoop,aws Certified)",2 - 6 yrs, hive| apache| itil process| hadoop| big data| aws| core java,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Job Opening For Corporate Sales (insurance Broking) Mumbai/ Bangalore,3 - 8 yrs, motor insurance| insurance sales| insurance broking| general insurance,Corporate Sales,"Sales , Retail , Business Development",Insurance,Sales/Business Development Manager
Spring Boot, 3 - 8 Years,SQL|Hibernate|Multithreading|OOAD|Eclipse|Business process|Outsourcing|Version control|Memory management|Control system,Programming & Design,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Team Lead/Technical Lead
 Sr. Engineer Design (Mechanical),2 - 6 yrs, CATIA| AutoCAD| Pressure vessels| Mechanical| Primavera| PSCAD,Engineering Design,"Engineering Design , R&D","Strategy, Management Consulting Firms",Senior Design Engineer
 Senior Manager Cost & Program Management,6 - 9 yrs, Team Management| Project Execution| Program Management| Customer Experience| Data Analytics| Supply Chain| Operations Planning,Purchase/Material Management,Purchase / Logistics / Supply Chain,"Internet, Ecommerce",Purchase/Vendor Development Manager
 Manager Sales Commercial Segment,4 - 9 yrs, business development management| Sales Management,Retail Sales,"Sales , Retail , Business Development","Real Estate, Property",Sales/Business Development Manager
 Outbound Sales Executive,1 - 5 yrs, Outbound Sales| tele sales| Sales Executive Activities,,Other,Other,Other
 US Tech Process,0 - 1 yrs, Technical support| Outbound| Comp| Technical| Domestic BPO| US shift| process| Inbound calls| Bonus,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
" Community Manager,",0 - 1 yrs, Operations| Inventory Management| Vendor Management| Bhm| Hospitality| Front Office| Guest Relations| Hospitality Management| hotel management,Front Office/Customer Care,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Front Office/Guest Relations Executive/Manager
 Software Engineer- Mobile Applications - Android,3 - 8 yrs, financial s| windows| android| mobile development,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Hardware Board Design Engineer,3 - 8 yrs, Hardware Board Design| Mixed Signal| Design Engineering,Programming & Design,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Software Developer
 Corporate Head - Operations,5 - 10 yrs, environment| functional| operations| business| verbal communication| coaching| analytical skills,Senior Management,"ITES , BPO , KPO , LPO , Customer Service , Operations","Security, Law Enforcement",Head/VP/GM-Operations
 HR Recruitment Executive,1 - 3 yrs, Screening| Linkedin| IT Recruitment| hr recruitment| Database| recruiter| Sourcing| Interviewing| Recruitment,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","BPO, Call Centre, ITeS",Recruitment Executive
 Software Engineer Android,2 - 6 yrs, java| linux| server| development| eclipse ide| c| technical| mobile| eclipse| objective c| usability| ui| design| debugging| backend| developer| programming| applications,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Sales Coordinator,0 - 2 yrs, Retail Sales| Sales Executive Activities| Revenue Generation| Inhouse Sales,Retail Sales,"Sales , Retail , Business Development","Retail, Wholesale",Counter Sales
 Ecommerce Executive,0 - 5 yrs, BPO| Customer Support| international bpo| Voice Process| International Voice| International Voice Process,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 Team Lead / Dev Lead,5 - 7 yrs, J2Ee| Core Java| jQuery| ERP| Tomcat| Eclipse| Open source| Selenium| Computer science| OFBIZ,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead
 Andriod Developer,0 - 2 yrs, Android Development| Android Studio| Java| Troubleshooting| API Testing| API,,Other,"Media, Entertainment, Internet",Other
 Physics Teacher,4 - 6 yrs, Counselor| Mentor| Trainer| Advisor| Teaching,Subject Teachers (TGT/PGT),"Teaching , Education , Training , Counselling","Education, Teaching, Training",Physics Teacher
 Manager Sales &amp; Marketing,12 - 15 yrs, lead generation| branding| business development| Sales Management| market research| competitive intelligence| market analysis| Marketing,Institutional Sales,"Sales , Retail , Business Development","Chemicals, PetroChemical, Plastic, Rubber",Sales/Business Development Manager
 Design Engineer,2 - 7 yrs, Wireless| Automation| Simulation| Networking| Aerospace| FPGA| Coding| System verilog| Automotive| Physical design,Engineering Design,"Engineering Design , R&D","IT-Software, Software Services",Design Engineer
 VERY Urgent Opening for IT Recruiter & Non IT Recruiter !! Apply NOW ,1 - 5 yrs, hr| recruitment| recruiter| hiring| head hunting| leadership| mass hiring| volume hiring| bulk hiring| team leader| senior| tl| non it| it recruitment| technical hiring| it recruiter| bfsi| engineering| manufacturing| insurance| bpo| IT,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive
 Associate,0 - 3 yrs, Associate,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Accounting, Finance",Accounts Executive/Accountant
 Receptionist (Female),1 - 5 yrs, Receptionist| Administration| Front Desk| Travel Arrangements| Front Office| Computer Operating,,"Executive Assistant , Front Office , Data Entry","Banking, Financial Services, Broking",Receptionist
 Senior .NET Developer,2 - 7 yrs, javascript| html| sql server| ajax| jquery| soa| oop| english| proactive| asp net c,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Sales Manager : School & Higher Academic Books,5 - 10 yrs, marketing executive| Sales| distributors| customer profiling| sales strategy| market research| Business Development| sales executive,Corporate Sales,"Sales , Retail , Business Development",Publishing,Sales/Business Development Manager
 Supply Chain - Import Export Executive,1 - 2 yrs, QMS| Impex| Environmental Management System| Warehouse Management System| Export Import Logistics,Logistics,Purchase / Logistics / Supply Chain,"Automobile, Auto Anciliary, Auto Components",Logistics Executive
 Walk-in Drive for Java Dev/sr. Dev on 29th June at Delhi,2 - 7 yrs, Java| core java| J2EE| Hibernate| Spring| LDAP| ADFS| Json| SOAP| jQuery| REST| Javascript| Java Web Services| Java Api| Advanced Java| MVC| Web Services| Open Source| SOA| Cloud| spring integration,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Hiring for Spring Boot Developer-noida,2 - 3 yrs, spring boot| spring security| spring mvc,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Dynamic CRM Architect,8 - 12 yrs, Dynamics CRM| .Net| Azure| Visual Studio| Microsoft Dynamics| Solution Management| Root Cause| microservices| .NET development,Programming & Design,"IT Software - ERP , CRM","IT-Software, Software Services",Technical Architect
 SE / SSE - DATA,3 - 8 yrs,vide,Programming & Design,"IT Software - Application Programming , Maintenance","Telcom, ISP",Software Developer
 Hiring for Accounts Manager (business Development)- Radio In,2 - 6 yrs, Marketing Strategy| Strategic Thinking| Interpersonal Communication| Sales| Promotions| Accounting| Account Management| Team Leading| Business Development Management| Advertising,Retail Sales,"Sales , Retail , Business Development","Media, Entertainment, Internet",Sales/Business Development Manager
Urgent Openings for O2C, 0 - 2 Years,O2C|OTC|Order Management|Credit Management|Communication Skills,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit",Accounting / Finance,Accounts Executive/Accountant
 ARCHITECTURAL CAD,2 - 7 yrs, visualization| m e p| modeling| drafting| design development| drawings| cad| preparation| quality,Architectural Services,"Architecture , Interior Design","Construction, Engineering, Cement, Metals",Architect
" HCL Tech Hiring ""physical Design Engineers"" for VLSI R&D Division",5 - 10 yrs, pnr| primetime| sta| floorplan| timing closure| synthesis| vlsi| Physical design| floor planning,Engineering Design,"Engineering Design , R&D","Semiconductors, Electronics",Senior Design Engineer
 Assistant Manager Purchase,10 - 12 yrs, Assistant Manager Purchase,Purchase/Material Management,"Supply Chain , Logistics , Purchase , Materials","Electricals, Switchgears",Purchase Executive
 Sr. Cloud Developer,5 - 8 yrs, SQL| Python| Analytics| Machine learning| Solution architecture| Analytical| SCALA| Cosmos| Programming| Data warehousing,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
 Hiring for Manager Quality ( Voice and Chat),3 - 6 yrs, BPO| Transactional Quality| Quality Management| Quality manager| manager Quality,Quality,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Quality Assurance/Quality Control Manager
" South Indian Cook,",2 - 5 yrs,vide,Senior Management,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Executive/Master Chef
 Sharepoint Support Engineer,5 - 8 yrs, IIS| Exchange Server| Windows Server| WSS| Sharepoint| Active Directory,Admin/Maintenance/Security/Datawarehousing,"IT Software - Network Administration , Security",IT-Hardware & Networking,Technical Support Engineer
